EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2026;1;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;3574;2;0;0;0;0;0;5,133;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2026;1;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;21;0;0;0;0;53950;22659;5395;2039;0;1079;1;0;0;0;50;5000;1,667;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2026;1;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;1787;1;0;0;0;0;0;2,417;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2026;1;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;47;0;0;0;0;107900;50713;10790;4563;0;2158;2;0;0;0;100;10000;3,334;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5367;212;54496;0;0;57131334;45184773;10986795;4525418;0;244151;29;458801824;0;0;6786;1305000;291,084;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;10051;317;241065;0;1773;93635352;82860444;15581160;9459378;0;346248;42;1987339864;0;14616612;11358;1890000;423,332;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KFLL;FORT LAUDERDALE/HOLLYWOOD, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;;;;;;10336;9622;1870;1225;0;34;1;359448;0;0;304;55000;0,767;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4662;120;8345;0;0;43406064;36032598;8347320;3307419;0;185496;24;64498505;0;0;5616;1080000;225,735;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;233;1;2755;0;0;1793376;1785712;344880;181828;0;7664;1;21114320;0;0;234;45000;9,15;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7543;158;172453;0;5732;63342960;57809552;10001520;6568458;0;222256;29;1321679792;0;43930048;8265;1305000;274,734;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;11014;271;131280;0;2148;82001136;73981038;14273625;7554504;0;315699;47;881807759;0;14428116;12208;2125000;388,667;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;23107;491;475018;0;11361;164363148;151905418;29122820;16868894;0;604808;92;3122768340;0;74687214;25002;4430000;771,749;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6323;200;12532;0;4;57560703;53233337;10986795;4896530;0;244151;29;105506909;0;33676;6837;1305000;311,799;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5344;135;26746;0;0;43800243;41303776;8347320;3924049;0;185496;24;206719837;0;0;5667;1080000;235,816;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;11793;244;162303;0;92;83572914;79213581;14575890;8220003;0;322416;48;1090189250;0;617964;12442;2170000;413,584;0
