EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;285;0;38;0;0;4699080;2349540;741960;211771;0;16488;2;313272;0;0;570;90000;20,784;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;10005;306;168316;0;0;88515828;82481220;14839200;8810888;0;329760;40;1387597104;0;0;10737;1800000;406,133;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KFLL;FORT LAUDERDALE/HOLLYWOOD, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;10572;0;0;2003360;1864970;362450;307186;0;6590;1;139338960;0;0;304;55000;10,683;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;91;2;3736;0;0;1793376;697424;344880;91400;0;7664;1;28632704;0;0;234;45000;9,467;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7850;154;255442;0;0;63342960;60162400;10001520;7372310;0;222256;29;1957707488;0;0;8265;1305000;276,45;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;265;5;5907;0;0;1788128;1742110;295830;195622;0;6574;1;38832616;0;0;272;45000;8,683;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;23581;593;573999;0;153;162575020;153161052;28826990;17489422;0;598234;91;3703969102;0;1005822;24730;4385000;770,133;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;26;0;0;0;0;3564;2574;416;190;464;396;4;0;0;0;36;4220;2,532;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;370;415;5;0;0;0;0;0;3,1;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;565;8;0;0;0;73953;46895;9009;3468;7326;8217;99;0;0;0;891;108900;58,848;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;42;0;0;0;0;4455;4158;520;309;580;495;5;0;0;0;45;5275;3,083;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;14;0;0;0;0;540;280;60;20;171;60;3;0;0;0;27;3135;0,917;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;148;166;2;0;0;0;0;0;1,217;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;851;5;0;0;0;76941;70633;9373;5267;7622;8549;103;0;0;0;927;113300;61,216;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2026;1;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;31;0;0;0;0;720;620;80;45;228;80;4;0;0;0;36;4180;1,217;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6596;175;188140;0;786;60672800;53717824;11688050;6373202;0;203600;25;1532212160;0;6401184;7450;1435175;250,401;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1697;0;173682;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3404;126;33289;0;0;32045728;28157888;6173310;2809569;0;107536;13;275366608;0;0;3874;746291;129,25;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6168;234;86967;0;343;70812548;64445810;13641368;7938678;0;237626;29;2135757894;0;2810542;8642;1664803;286,098;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1630;9;78014;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4480;78;92402;0;611;11289432;10521420;2174788;1241425;0;37884;22;293456352;0;1052142;6556;1262954;59,032;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3510;122;42782;0;0;32045728;29034720;6173310;2967010;0;107536;13;353892704;0;0;3874;746291;137,783;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6924;186;293020;0;0;60672800;56389056;11688050;7461359;0;203600;25;2386354880;0;0;7450;1435175;257,717;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6529;196;259561;0;2990;70812548;66854846;13641368;8807513;0;237626;29;2766089552;0;24500060;8642;1664803;299,65;0
ACA;AIR CANADA;ESTRANGEIRA;2026;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3308;65;38413;0;0;10776276;8618610;2075934;1140891;0;36162;21;365227590;0;0;6258;1205547;58,733;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBAQ;ARARAQUARA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;30;0;40;0;0;18252;5070;2994;385;1453;2028;12;6760;0;0;108;17747;11,25;25
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBAX;ARAXÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;9;0;0;0;0;5652;2826;863;240;450;628;2;0;0;0;18;2750;3,2;91
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBAX;ARAXÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;68;0;579;0;0;36738;21352;5774;2004;2396;4082;13;181806;0;0;117;18404;17,8333;716
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;82;0;0;0;0;0;0;88;0;2;0;0;0;0;3112;0,816667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCJ;PARAUAPEBAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;32;0;462;0;0;17664;17664;3466;1761;1716;2760;5;255024;0;0;32;6284;11,6667;334
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;70;0;0;0;0;590;31;285;449;1;31430;0;0;0;1315;2;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;33;0;735;0;0;22638;15246;4323;1665;1838;3234;7;339570;0;0;49;9362;12,6833;400
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;3;0;80;0;0;2700;900;418;106;205;300;1;24000;0;0;9;1395;1,38333;50
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;28;2;851;0;0;24600;8400;5113;940;2141;3600;12;255300;0;0;82;17059;15,1833;198
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SDOW;OURILÂNDIA DO NORTE;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;18;0;179;0;0;23832;11916;3251;1116;1486;2648;4;118498;0;0;36;4914;9,91667;161
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNEB;PARAGOMINAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;74;0;0;0;0;270;16;386;223;1;16502;0;0;0;1214;2,66667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNMZ;PORTO DE MOZ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;100;0;0;0;0;526;41;344;419;1;41900;0;0;0;1256;2,3;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNSM;SALINÓPOLIS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3;0;73;0;0;7252;444;1539;51;780;1036;7;10804;0;0;49;10420;5,81667;52
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;741;0;0;0;0;2887;157;1257;1980;9;163020;0;0;0;13143;9,4;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;69;25;1;0;0;0;0;0;0,666667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;963;0;424;819;1;0;0;0;0;1176;2,88333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;35;1;142;0;0;38400;14000;6412;1250;3156;4800;12;56800;0;0;96;16044;22,0667;360
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBBZ;ARMAÇÃO DOS BÚZIOS;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;0;0;662;0;383;512;1;0;0;0;0;1293;2,16667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBAX;ARAXÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;11;0;204;0;0;5652;3454;872;364;418;628;2;64056;0;0;18;2782;3,11667;134
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBAX;ARAXÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;82;0;1178;0;0;36738;25748;5740;2539;2502;4082;13;369892;0;0;117;18298;19,0167;778
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;10;0;0;0;0;737;5;352;591;1;5910;0;0;0;1248;2,38333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;127;0;0;0;0;0;0;2106;0;6;0;0;0;0;7494;14,5167;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBJR;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;123;2;1430;0;0;68220;46617;10360;4612;4632;7580;20;541970;0;0;180;27368;34,6167;1542
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;389;499;1;0;0;0;0;0;2,65;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2026;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;0;0;1293;0;607;998;2;0;0;0;0;2593;4,25;0
